"Id","Law","Title","Legislation type","Date passed","Description","Geography","Geography iso","Frameworks","Document types","Responses","Keywords","Natural hazards","Visibility status"
44,8744,"Ordinary law L/2017/060/AN (Forest Code)","legislative","12 Dec 0017","The Forest Code, enshrined into law by the ordinary law L/2017/060/AN, provides to the national forests a status of national interest (art. 2). Their protection and sustainable management must therefore be ensured.

Art. 14 states that the Forestry Administration is responsible for implementing any measures necessary for the protection, sustainable development of Guinean forests and trees outside forests, the conservation of plant diversity, the mitigation of the impacts of climate change and the certification of forest products harvested.

Art. 21 mentions that areas stabilising water regimes and the climate can be classified as forests, or enjoy similar legal status.

Art. 46 states that in order to estimating the carbon stored in forest ecosystems and woodlands as part of the mitigation of climate change impacts, as well as for wood energy assessment, the inventory of plant biomass is the responsibility of the owner of the forest, under the control of the Administration in charge of Forests.

Art. 115 grants the Forestry Administration the power of prescribing protective measures to be taken in forest lands where they are required, notably to curb GHG emissions.","Guinea","GIN",,"Law",,,,"published"
46,8740,"National Renewable Energy Policy","executive","07 Sep 0017","This policy seeks to provide access to modern, clean, environmentally sustainable, and affordable energy services for all Namibians. It aims to boost public and private investments in renewable energy projects, create an enabling regulatory and economic environment for the sector, promote connected and off-grid schemes, pursue climate resilience in the energy sector, and accelerate the development of energy storage facilities.

The policy recommends the government to consider a subsidy framework. Solar, wind, or invader- bush based bioenergy are sources primarily favoured, since the hydropower sector is subjected to high climate change uncertainty.","Namibia","NAM",,"Policy",,,,"published"
49,8741,"National Policy for Climate Change","executive","27 Apr 0017","The National Policy on Climate Change promotes adaptation and mitigation in the country. It contributes to the sustainable development of the country, seeking climate resilience and a low-carbon economy. It sets objectives over the short, medium and long term up to 2050.

The document defines the human, material and financial resources needed to ensure the functioning of the National System of Response to Climate Change and Variability. It further seeks to 1) establish institutional and inter-sectoral mechanisms, 2) ensure the adequate articulation of institutional actions, 3) include mitigation and adaptation issues in the scope of all public policies, 4) enhance climate-awareness, 5) promote renewable energies,  6) reduce greenhouse gases emissions in the transport and industrial sectors, and 7) improve the carbon sequestration function of national forests.","Uruguay","URY","Adaptation, Mitigation","Policy",,,,"published"
56,8732,"Law on energy efficiency","legislative","15 Mar 0017","This document sets Bosnia's energy efficiency legal framework and transposes three European directives. It seeks to reduce negative environmental impacts, increase energy security, meet energy demand for end-users, and lower greenhouse gases emissions

The law regulates in particular end-use efficiency, the adoption and implementation of energy efficiency improvement plans, measures to improve energy efficiency including energy services and energy audits, public sector liabilities, commitments rights and obligations of end consumers, including the public, housing and commercial sectors with regard to the application of energy efficiency measures, and financing schemes. The law does not apply to energy efficiency on the supply side.","Bosnia and Herzegovina","BIH",,"Law",,,,"published"
57,8731,"Law 7/2017 promoting the use of energy from renewable resources","legislative","20 Feb 0017","This law notably aims to increase the use of energy from renewable sources, to reduce imports of fossil fuels and related greenhouse gas emissions, and to promote the development of the renewable electricity market and its regional integration. It further seeks to improve the supply of rural and isolated areas.

The document establishes 1) the legislative framework for the promotion of use of energy produced from renewable sources, 2) the binding national objectives for the contribution of energy from renewable energy sources in gross final energy consumption, 3) the rules for supporting the energy produced from renewable sources, 4) the obligation for transparency of information, 5) rules for access and operation of the grids for renewable energy sources and connection to the electric energy grid, and 6) the rules for issuing, transferring and cancelation of Guarantees of Origin for the energy produced from renewable sources.

This law replaces law 138/2013.","Albania","ALB",,"Law",,,,"published"
43,8745,"National Agricultural Sector Strategy (2017-2022)","executive","01 Nov 0016","This document sets Palestine's agricultural strategy over the period 2017-2022. It defines overarching goals and sectoral objectives. The document notably seeks to increase resilience to climate change, by 1) developing resources and policies for the Risk Prevention and Agricultural Insurance Fund and 2) promoting innovation and adaptive solutions.

Further specific objectives include: 1) take measures and arrangements to adapt with or avoid the negative impact of climate change and natural disasters, particularly high temperatures and fluctuating precipitation or declining rain water, 2) intensify efforts of research and official institutions, local authorities and centres to protect the forests and natural reserves, as well as organise and develop pastures, protect agricultural biodiversity in all environmental areas in Palestine, and 3) protect agricultural lands from urban expansion, especially in plain areas and high value agricultural lands.","Palestine","PSE",,"Strategy",,,,"published"
35,8767,"Executive Order No. 881, Authorizing the Climate Change Commission to Coordinate Existing Climate Change Initiatives, Reducing Emissions from Deforestation and Forest Degradation – Plus, and Other Similar Mechanisms","executive","01 Jan 0016","This law authorizes the Philippines' Climate Change Commission to include the coordination of actions and plans related to Reducing Emissions from Deforestation and Forest Degradation – Plus (REDD+) within the scope of its activities. It also designates the Department of Environment and Natural Resources (DENR) as the organization primarily responsible for implementing REDD+ plans and programs emanating from the Climate Change Commission.

It further authorizes the Climate Change Commission to call upon other government agencies to provide resources and documentation required for the proper monitoring and evaluation of its REDD+ plans and programs.

Lastly, it authorizes the DENR to manage and utilize any support from the United Nations or other international organizations for REDD+ plans and programs consistent with its mandate and the objectives of the Climate Change Commission.","Philippines","PHL",,"Decree/order/ordinance",,,,"published"
29,8762,"Global Change Research Act of 1990","legislative","01 Jan 0016","This law established the United States Global Change Research Program, which publishes the United States' National Climate Assessment once every four years. The purpose of the Global Change Research Program is to understand and evaluate risks to the United States that stem from climate change. This law outlines specific criteria according to which the Global Change Research Program must operate, including its committee structure, funding sources and timeline for compiling reports.","United States of America","USA",,"Law",,,,"published"
5,8797,"Disaster Countermeasures Basic Act","legislative","01 Nov 0015","This law describes the overall framework for disaster prevention, response, and recovery in Japan. It establishes and defines the roles of disaster prevention councils at the national, subnational, and local levels. Importantly, this law also requires that each council and publicly owned corporations create and implement disaster prevention plan.","Japan","JPN",,"Law",,,,"published"
45,8742,"National Action Programme to Combat Deforestation and Land Degradation","executive","01 Oct 0015","The National Action Program to Combat Deforestation and Land Degradation in Equatorial Guinea (PAN/LCD) aims to achieve the neutrality of land degradation at the national level and as one of the essential programs for the fulfilment of the Sustainable Development Goals. It lays out a national process aligned with the Ten-Year Strategy of the United Nations Convention to Combat Desertification and Drought. This document updates the country's <a href=""http://extwprlegs1.fao.org/docs/pdf/eqg146537.pdf"">2000 forest policy </a>and the <a href=""http://www.fao.org/faolex/results/details/en/c/LEX-FAOC146537/"">2002 National Programme for Forest Action</a>.

The Programme seeks to tackle deforestation and biological variation, land degradation and the decrease of local biodiversity, while enhancing sustainable food production. Two objectives are set up: 1) promote best practices on current sectoral initiatives or strategies and their links to the conservation and restoration of ecosystems for the improvement of living conditions of the population with exclusive dependence on environmental resources / factors, and 2) establish mechanisms to strengthen national capacities on the persistent gaps and redefinition of the different actors / sectors, in order to achieve the neutrality of land degradation.

The Programme further seeks to maintain the carbon storage properties of the country's forests, and develop international financing schemes accordingly.","Equatorial Guinea","GNQ",,"Programme",,,,"published"
50,8743,"Resolution of the Council of Ministers no 56/2015","executive","30 Jul 0015","This resolution approves the Strategic Framework for Climate Policy (QE-PiC) in Annex I, the National Program for Climate Change 2020/2030 (PNAC 2020/2030) in Annex II, and the National Strategy for Adaptation to Climate Change in Annex III.

The Strategic Framework for Climate Policy sets out the vision and objectives of national climate policy to 2030. It notably aims to promote the rapprochement of citizens and civil society, foster the implementation of a new generation of climate policy instruments, and articulate objectives, instruments and institutions, recognising that the mainstreaming of climate policies and the need to integrate the climate dimension into sectoral policies requires an integrated and integrated vision of policies and instruments.

Its objectives are: 1) Promoting the transition to a low carbon economy, generating more wealth and employment, contributing to green growth; 2) Ensure a sustainable path to reduce GHG emissions; 3) Strengthen resilience and national adaptation capacities; 4) ensure committed participation in international negotiations and cooperation; 5) to stimulate research, innovation and the production of knowledge; 6) Involve society in the challenges of climate change, contributing to increase individual and collective action; 7) Increase the effectiveness of information, reporting and monitoring systems; 8) Guarantee financing conditions and increase levels of investment; and 9) Ensure effective governance conditions and ensure mainstreaming of climate objectives.

 

The PNAC is one of the elements that constitute the QEPiC that assumed as vision the development of a competitive and low carbon economy, establishing a new paradigm of development for Portugal in a context of green growth.

Its objectives are: 1)) establish policy guidelines and sectoral measures based on the cost-effective emission reduction potential identified in the modelling; 2) Define sectorial targets that conspire the objectives of reducing national emissions resulting from the CCV and foreseen in the QEPiC; and 3) Identifies a set of policy options and sectoral measures with a cost-effective potential, to be developed within the framework of the work of the SPM, which ensures sectoral operationalisation and accountability in its implementation.

 

In order to contribute to the planning and development of a resilient, competitive and low carbon society and economy, ENAAC 2020 sets the following vision: ""a country adapted to the effects of climate change, through the continuous implementation of solutions based on the technical knowledge and best practices."" It aims to 1) improve the level of knowledge on climate change; 2) implement adaptation measures; and 3) promote the integration of adaptation into sectoral policies. ENAAC 2020 replaces the National Strategy for Adaptation to Climate Change set out in <a href=""https://poseur.portugal2020.pt/Content/docs/Poseur/ENAAC.pdf"">Resolution 24/2010</a>.","Portugal","PRT","Adaptation, Mitigation","Resolution",,,,"published"
17,8771,"National Strategy for Disaster Resilience","executive","07 Dec 0009","The National Strategy for Disaster Resilience outlines the Australian government's overall approach to building resilience to disasters, including those related to climate change. Primarily, it emphasizes a collective responsibility in building resilience and therefore encourages capacity building through networks and partnerships between government, civil society, private sector, and a variety of other actors. More specifically, it also calls for creating a National Emergency Management Committee, improving land use and building practices, conducting risk assessments and risk mapping, as well as a number of other functions.","Australia","AUS","Adaptation","Strategy",,,,"published"
24,8770,"Health Sector Plan for Mitigation and Adaptation to Climate Change","executive","01 Jan 0006","Health Sector Plan for Mitigation and Adaptation to Climate Change.","Brazil","BRA","Adaptation, Mitigation","Plan",,,,"published"
32,8764,"Canada Emission Reduction Incentives Agency Act (S.C. 2005, c. 30, s. 87)","legislative","01 Jan 0003","This law establishes the Canada Emission Reduction Incentives Agency, whose task it is to come up with incentives to reduce greenhouse gas emissions either through emissions credits or greenhouse gas removal. This law outlines specific criteria the agency must meet, including details related to its organizational structure, duties and responsibilities under the law and guidelines for preparing and publishing reports.","Canada","CAN",,"Law",,,,"published"
