"id","litigation_id","side type","name","party type","connected entity id","connected entity type"
,7086,"A","River District Energy Limited Partnership","corporation",,
,7086,"B","British Columbia Utilities Commission","government",,
,7085,"A","FortisBC Energy Utilities","corporation",,
,7085,"B","British Columbia Utilities Commission","government",,
,7084,"A","Pembina Institute for Appropriate Development","ngo",,
,7084,"A","Prairie Acid Rain Coalition","ngo",,
,7084,"A","Sierra Club of Canada","ngo",,
,7084,"B","Attorney General of Canada","government",,
,7084,"B","Minister of Fisheries and Oceans","government",,
,7084,"B","Minister of Environment","government",,
,7083,"A","City of Brampton","government",,
,7083,"B","Ontario Municipal Board","government",,
,7082,"A","FortisBC Energy Utilities","corporation",,
,7082,"B","British Columbia Utilities Commission","government",,
,7081,"A","Friends of the Earth","ngo",,
,7081,"B","The Governor in Council","government",,
,7081,"B","The Minister of the Environment","government",,
,7080,"A","Citizens of Riverdale Hospital","individual",,
,7080,"B","Bridgepoint Health Services","ngo",,
,7078,"A","Chicago Climate Exchange","corporation",,
,7078,"B","Bourse de Montreal","corporation",,
,7077,"A","Klimaatzaak","ngo",,
,7077,"B","Federal Regional Government of Belgium","government",,
,7076,"A","David Cooke","individual",,
,7076,"B","Greater Geelong City Council","government",,
,7075,"A","Alanvale Pty Ltd","corporation",,
,7075,"B","Southern Rural Water Authority","government",,
,7074,"A","Your Water You Say Inc.","ngo",,
,7074,"B","Minister for the Environment, Heritage and the Arts","government",,
,7073,"A","Xstrata Coal Queensland Pty Ltd, ICRA Wandoan Pty Ltd, Sumisho Coal Australia Pty Ltd","corporation",,
,7073,"A","ICRA Wandoan Pty Ltd","corporation",,
,7073,"A","Sumisho Coal Australia Pty Ltd","corporation",,
,7073,"B","Friends of the Earth - Brisbane Co-Op Ltd, Barry Raymond Rich and Helen Maxine Rich","individual_ngo",,
,7072,"A","Wildlife Preservation Society of Queensland, Whitsundry Branch Inc.","corporation_ngo",,
,7072,"B","Minister for the Environment & Heritage","government",,
,7071,"A","West Gippsland Cathment Management Authority","government",,
,7071,"B","East Gippsland Shire Council","government",,
,7070,"A","Robert Wade","individual",,
,7070,"B","Warnambool City Council","government",,
,7069,"A","W & B Cabinets","corporation",,
,7069,"B","Casey City Council","government",,
,7068,"A","Mr. Thornton","individual",,
,7068,"B","Adelaide Hill Council","government",,
,7067,"A","Terminals Pty Ltd","corporation",,
,7067,"B","Greater Geelong City Council","government",,
,7066,"A","John Tauschke","individual",,
,7066,"B","East Gippsland Shire Council","government",,
,7065,"A","Taralga Landscape Gaurdians Inc","corporation",,
,7065,"B","Minister for Planning","government",,
,7064,"A","Ms. Taip","individual",,
,7064,"B","East Gippsland Shire Council","government",,
,7063,"A","Suburban Blue Print Pty Ltd","corporation",,
,7063,"B","Hobsons Bay City Council","government",,
,7060,"A","SJ Connelly","individual",,
,7060,"B","Byron Shire Council","government",,
,7062,"A","Smith","individual",,
,7062,"B","Pittwater Council","government",,
,7059,"A","Ronchi L.","individual",,
,7059,"A","Campbell J.","individual",,
,7059,"B","Wellington Shire Council","government",,
,7058,"A","Rivers SOS Inc","corporation",,
,7058,"B","Minister of Planning","government",,
,7057,"A","RES Southern Cross","corporation",,
,7057,"B","Minister for Planning","government",,
,7056,"A","Australian Conservation Foundation","ngo",,
,7056,"B","Latrobe City Council","government",,
,7055,"A","Rainbow Shores P/L","corporation",,
,7055,"B","Gympie Regional Council","government",,
,7054,"A","Queensland Conservation Council","government",,
,7054,"B","Xstrata Coal","corporation",,
,7053,"A","Phosphate Resources Ltd","corporation",,
,7053,"B","The Commonwealth of Australia First Respondent","government",,
,7052,"A","Sheila Watt Cloutier","individual",,
,7052,"B","Inter-American Comission on Human Rights","government",,
,7051,"A","J Perry, Hepburn Shire Council Responsible Authority, Sustainability Victoria Referral Authority","individual",,
,7051,"A","Hepburn Shire Council Responsible Authority","government",,
,7051,"A","Sustainability Victoria Referral Authority","government",,
,7051,"B","Hepburn Renewal Energy Association Inc.","corporation",,
,7050,"A","Pepperwood Ridge Pty Ltd","corporation",,
,7050,"B","Newcastle City Council","government",,
,7049,"A","Mr John Paul","individual",,
,7049,"B","Goulburn Murray Water Corporation","corporation",,
,7048,"A","Owen","individual",,
,7048,"B","Casey City Council","government",,
,7047,"A","Salvatore and Albina Nucifora","individual",,
,7047,"B","Valuer General","government",,
,7046,"A","Northcape Properties","corporation",,
,7046,"B","District Council of Yorke Peninsula","government",,
,7045,"A","Newton and Anor","individual",,
,7045,"B","Great Lakes Council","government",,
,7044,"A","Deborah Myers","individual",,
,7044,"B","South Gippsland Shire Council","government",,
,7042,"A","Minister for Planning","government",,
,7042,"B","Walker","individual",,
,7041,"A","Inverloch Residents & Ratepayers Association","individual",,
,7041,"A","South Gippsland Conservation Society","ngo",,
,7041,"A","Ms J McCulloch and others","individual",,
,7041,"B","Bass Coast Shire Council","government",,
,7040,"A","Robert Lester","individual",,
,7040,"B","Minister for Planning","government",,
,7039,"A","Kennedy (on behalf of Sandon Point Aborigal Tent Embassy)","ngo",,
,7039,"B","Minister for Planning","government",,
,7038,"A","Kala Developments Pty Ltd","corporation",,
,7038,"B","Surface Coast Shire Council","government",,
,7037,"A","Ison","individual",,
,7037,"B","Richmond Valley Council","government",,
,7036,"A","Ironstone Community Action Group Inc","ngo",,
,7036,"B","NSW Minister for Planning","government",,
,7035,"A","Hunter Community Environment Centre Inc","ngo",,
,7035,"B","Minister for Planning and Delta Electricity","government",,
,7034,"A","Ned Haughton","individual",,
,7034,"B","Minister for Planning","government",,
,7032,"A","Green Peace Asutralia Ltd","ngo",,
,7032,"B","Redbank Power Company Pty Ltd","corporation",,
,7033,"A","Ground Crew at Turramurra","corporation",,
,7033,"B","Ku-ring-gai Council","government",,
,7031,"A","Gray","individual",,
,7031,"B","Minister for Planning","government",,
,7030,"A","Gippsland Coastal Board","government",,
,7030,"B","South Gippsland Shire Council","government",,
,7029,"A","Environment Victoria Inc","corporation",,
,7029,"B","Department of Primary Industries","government",,
,7028,"A","Edmond Golf Pty Ltd","corporation",,
,7028,"B","Frankston City Council","government",,
,7027,"A","Dual Gas Pty Ltd & Ors","corporation",,
,7027,"B","Environment Protection Authority","government",,
,7025,"A","Director of Public Prosecutions","government",,
,7025,"B","Fraser and O'Donnell","individual",,
,7026,"A","Drake-Brockman","individual",,
,7026,"B","Minister for Planning","government",,
,7024,"A","David Kettle Consulting","corporation",,
,7024,"B","Gosford City Council","government",,
,7023,"A","Marie Agnes Doyle","individual",,
,7023,"A","Cecilia Bridget Doyle","individual",,
,7023,"A","Peter Daniel Doyle","individual",,
,7023,"A","Gregory Charles Copley","individual",,
,7023,"B","Logan City Council","government",,
,7022,"A","Clean Energy Regulator","government",,
,7022,"B","MT Solar Pty Ltd","corporation",,
,7022,"B","Green Master Building Solutions Pty Ltd","corporation",,
,7022,"B","Bo Liu","individual",,
,7022,"B","Yongin Zhu","individual",,
,7022,"B","Barry Eli Kibblewhite","individual",,
,7021,"A","Peter Carey, Jane Carey, Michael Nudelman, Karen Gunter","individual",,
,7021,"A","Jane Carey","individual",,
,7021,"A","Michael Nudelman","individual",,
,7021,"A","Karen Gunter","individual",,
,7021,"B","Murrindindi Shire Council","government",,
,7018,"A","Byron Shire Council","government",,
,7018,"B","Mr and Mrs Vaughan","individual",,
,7020,"A","Campbell & Ors","corporation",,
,7020,"B","Mornington Peninsula SC","government",,
,7017,"A","Bulga Milbrodale Progress Association Inc","corporation",,
,7017,"B","Minister for Planning and Infrastructure","government",,
,7017,"B","Warkworth Mining Limited","corporation",,
,7016,"A","John Bock, PEMS Pty Ltd","individual",,
,7016,"B","Moyne SC","government",,
,7015,"A","Blue Wedges Inc","corporation",,
,7015,"B","Minister for Environmental, Heritage and the Arts","government",,
,7014,"A","Bernhard Seifert","individual",,
,7014,"B","Colac-Otway Shire Council","government",,
,7012,"A","Australian Competition and Consumer Commission","government",,
,7012,"B","Prime Carbon Pty Ltd","corporation",,
,7013,"A","Australian Competition and Consumer Commission","government",,
,7013,"B","V8 Supercars Australia Pty Ltd","corporation",,
,7011,"A","Australian Competition and Consumer Commission","government",,
,7011,"B","Goodyear Tyres","corporation",,
,7010,"A","Australian Competition and Consumer Commission","government",,
,7010,"B","GM Holden Ltd","corporation",,
,7009,"A","Australian Competition and Consumer Commission","government",,
,7009,"B","Global Green Plan Ltd","corporation",,
,7008,"A","Australian Competition and Consumer Commission","government",,
,7008,"B","De Longhi Australia Pty Ltd","corporation",,
,7006,"A","Adrian Aldous","individual",,
,7006,"B","Greater Taree City Council","government",,
,7006,"B","Australian Equity Investment Pty Ltd.","corporation",,
,7007,"A","Anvil Hill Project Watch Association","ngo",,
,7007,"B","Minister for the Environment and Water Resources","government",,
,7005,"A","Able Lott Holding Pty Ltd","corporation",,
,7005,"B","City of Fremantle","government",,
,7003,"A","Peter Gray & Naomi Hodgson","individual",,
,7003,"B","Macquarie Generation","corporation",,
,7002,"A","Peter Spencer","individual",,
,7002,"B","Commonwealth of Australia","government",,
,7001,"A","Charles & Howard Pty Ltd","corporation",,
,7001,"B","Redland Shire Council","government",,
,7000,"A","Hunter Community Environment Centre Inc.","ngo",,
,7000,"B","Minister for Planning and Delta Electricity","government",,
