"Id","Title","Document type","Geography iso","Geography","Jurisdiction","Citation reference number","Summary","Sectors","Responses","Keywords","At issue","Visibility status","Legislation ids"
"7369","Yokosuka Climate Case","Case","JPN","Japan","Tokyo District Court","","<div>On May 27, 2019, 45 Japanese citizens filed suit to block the construction of a new coal-fired power plant. The plaintiffs filed a legal challenge against the Japanese Minister of Economy, Trade and Industry, seeking cancelation of the notice of finalization of the environmental impact assessment for the construction of two new coal-fired generating units - totaling 1,300 MW - at the Yokosuka power plant. The plaintiffs allege that JERA, the plant operator, improperly exploited a streamlined assessment process for replacements or upgrades that the Japanese Government created after the Fukushima Fukushima Daiichi nuclear accident.</div>","Energy","Mitigation","Coal, Yokosuka Power Plant","<div>Plaintiffs challenged environmental impact assessment of coal-fired generating units.</div>","Published",""
"7368","Citizens’ Committee on the Kobe Coal-Fired Power Plant v. Kobe Steel Ltd., et al.","Case","JPN","Japan","Kobe District Court","","<div>On September 14, 2018, thirty-one families filed a lawsuit seeking an injunction to prevent the construction and operation of two units at a coal-fired plant in Kobe, Japan. The plaintiffs are represented by the Citizens' Committee on the Kobe Coal-Fired Power Plant and named Kobe Steel Ltd., Kobelco Power Kobe No. 2 Inc. and Kansai Electric Power Co., Inc. as defendants. According to the plaintiffs, the new units would have a total output of 1,300 megawatts, and emit 0.6% of the nation's carbon dioxide emissions from energy. They assert that the construction and operation of the new coal-fired units would violate the right to clean air and a healthy and clean environment and right to enjoy a stable climate; conflict with Japan's 2030 and 2050 climate targets; and pollute in residential areas where air quality standards are already being violated.</div>","Energy","Mitigation","Coal, Kobe Steel Ltd","<div>Families sought to prevent construction of new coal-fired units.</div>","Published",""
"7367","Citizens’ Committee on the Kobe Coal-Fired Power Plant v. Japan","Case","JPN","Japan","Osaka District Court","","<div>On November 19, 2018, twelve residents of the Japanese city of Kobe filed an administrative action against the government seeking more ambitious action on climate change. The plaintiffs asked the Osaka District Court to compel the government to cancel the notice of finalization of an environmental assessment of two new coal-fired units, which the plaintiffs allege would emit about 7 million tons of carbon dioxide per year. The plaintiffs also seek an order finding that the Government has unlawfully failed to establish regulatory standards consistent with the Paris Agreement.</div>","","Mitigation","Kobe, Kobe Coal Fired Power Plant","<div>Families sought to block coal-fired units, compel government to regulate carbon dioxide emissions.</div>","Published",""
"7365","Rights of Indigenous People in Addressing Climate-Forced Displacement","Case","INT","International","United Nations Special Rapporteurs","","<div>Five U.S. Indian tribes submitted a complaint to the United Nations alleging that the U.S. government has violated their human rights in failing to address climate displacement. The complaint calls on several Special Rapporteurs to intervene and investigate, and to recommend that the U.S. government and the states of Alaska and Louisiana take steps to address displacement caused by climate change.&nbsp;<br><br></div><div>The Alaska Institute for Justice submitted the complaint on behalf of five tribes located in Louisiana and Alaska: Point-au-Chien Indian Tribe, Grand Caillou/Dulac Band of Biloxi-Citimacha-Cochtow Tribe, the Atakapa-Ishak Chawasha Tribe of the Grand Bayou Indian Village, and the Native Village of Kivalina. The complaint is directed to the Special Rapporteurs on the Human Rights of Internally Displaced Persons, and the Rights of Indigenous Peoples, among others. The complainants assert that they are being forcibly displaced from their ancestral lands as a result of climate change, and that the U.S. government has failed to protect them despite knowing for decades that climate change threatens coastal communities. They further contend that the U.S. government's inaction has gone beyond basic negligence where the government has failed to engage, consult, acknowledge and promote the self-determination of the tribes as they develop adaptation strategies, including resettlement. The complaint also alleges that by failing to federally recognize the named Louisiana tribes, the U.S. government is further hamstringing efforts to mitigate and adapt to the effects of climate change.<br><br></div><div>The complaint asks the Special Rapporteurs to recommend that the U.S. government recognize the self-determination and inherent sovereignty of all the tribes; grant federal recognition to those that have not yet received it; and take certain steps to protect the tribes' land and cultural heritage, among other things. The complaint further asks the Special Rapporteurs to recommend that the Louisiana state government allocate funding to the named Louisiana tribes to respond to the humanitarian crisis caused by climate change; require the oil and gas industry to give advanced notice of their intent to conduct operations that may pose a risk to tribal cultural heritage, land, and waters; and hold oil and gas corporations responsible for damages caused to the Louisiana coast, among other things. The complaint also seeks a recommendation that the Alaska state government allocate funding to implement the tribal-led relocation process for Kivalina, and that all three governments develop relocation institutional frameworks.<br><br></div><div>The complainants' claims arise out of the Guiding Principles on Internal Displacement, the Pinheiro Principles on Housing and Property Restitution, and the Peninsula Principles on human rights that must be enforced when people are forcibly displaced because of climate change. The complaint also cites the right to self-determination of all peoples, the Charter of the UN, the International Covenant on Economic, Social and Cultural Rights, the International Covenant on Civil and Political Rights, the Vienna Declaration and Programme of Action, and Article 3 of the Declaration on the Rights of Indigenous Peoples.</div>","Social development","Loss And Damage","Indigenous People, Displacement, Us Government, Tribe, Tribal","<div>U.S. tribes filed human rights complaint with UN, alleging U.S. government has failed to address climate-caused displacement</div>","Published",""
"7355","INEOS Kahn GmbH v. Bundesrepublik Deutschland (C58/17)","Case","EUR","European Union","European Union","[2017] Case C-58/17","<div>INEOS operates a petrochemical plant that incorporates an industrial thermal power plant to provide steam through the combustion of liquid and gaseous waste materials stemming from the manufacturing processes of the site's chemical production facilities.<br><br>On January 23, 2012, INEOS applied to the German Emissions Trading Authority for a free allocation of emission allowances, including for process emissions from the combustion of incompletely oxidized carbon from chemical reactions in which the carbon-bearing material participates in the reaction but the primary purpose of which is not heat generation. By decision of February 19, 2014, the German Authority refused to allocate allowances free of charge for process emissions stemming from the combustion of liquid waste, claiming that only gaseous waste is entitled to such emissions according to the German legislation transposing Directive 2003/87/CE, which establishes a scheme for greenhouse gas emission allowance trading within the European Community.<br><br></div><div><br>On September 29, 2015, INEOS brought an action against that decision before the Berlin Administrative Court. The company claimed that Article 3(h) of Decision 2011/278 supplementing the Directive does not refer to the physical state of incompletely oxidised carbon and that there is nothing to suggest that the provisions apply solely to waste gases. The Administrative Court of Berlin referred to the European Court of Justice (ECJ) a question regarding the interpretation of Article 3(h) of Commission Decision 2011/278/EU: must it be interpreted as precluding national legislation, such as that at issue in the main proceedings, which excludes greenhouse gas emissions from the combustion of incompletely oxidized carbon in a liquid state from the category of ""process emissions sub-installation"" which is eligible to the allocation of free allowances?<br><br></div><div><br>The ECJ ruled that Article 3(h) of Commission Decision 2011/278/EU does not preclude national legislation that excludes greenhouse gas emissions from the combustion of incompletely oxidized carbon in a liquid state from the concept of ""process emissions sub-installation.""<br><br></div>","","Mitigation","Carbon Pricing","<div>&nbsp;INEOS challenged the national legislation, derived from Directive 2003/87/CE, that excluded incompletely oxidised carbon in a liquid state from free emissions allocations.&nbsp;</div>","Published","1217"
"7352","Trinseo Deutschland Anlagengesellschaft mbH v. Bundesrepublik Deutschland","Case","EUR","European Union","European Union","[2016] Case C-577/16","<div>Trinseo operates an installation for the production of polycarbonate that obtains the steam needed for that production from a plant which is operated, on the same site, by another company, Dow Deutschland Anlagengesellschaft, which is subject to the emission allowance trading scheme established by Directive 2003/87/EC. Trinseo applied for free allocation of emission allowances to its installation for the trading period 2013?2020, which the German government denied because polycarbonates do not fall under the list of products approved for free allocation. Trinseo originally claimed that it was entitled to free allocation of emissions allowances because the steam it uses during the production of polymers requires the emission of greenhouse gases.&nbsp;<br><br>The German government rejected this application and, subsequently, Trinseo sued the German government in the Berlin Administrative Court, which referred the case to the ECJ for preliminary ruling. The ECJ considered ""whether Article 2(1) of Directive 2003/87 must be interpreted as meaning that an installation for the production of polymers, in particular the polymer polycarbonate, such as the installation at issue in the main proceedings, which obtains the heat needed for that production from a third-party installation, falls within the activity of ‘[p]roduction of bulk organic chemicals by cracking, reforming, partial or full oxidation or by similar processes', within the meaning of Annex I to that directive, so that it must be considered to fall within the scope of the emissions allowance trading scheme established by that directive.""&nbsp;<br><br>The ECJ ruled that, because Directive 2003/87/EC is intended to incentivise emissions reductions in companies, and because polycarbonate production does not directly produce emissions, Trinseo was not entitled to free allocation of emissions trading allowances. Rather, only the company that directly emits greenhouse gases as the result of producing steam, which might later be used to manufacture polymers, is entitled to free emissions allocations.</div>","","Mitigation","Carbon Pricing","<div>Company challenged rejection of application of free allocation of emissions allowances</div>","Published","1217"
"7343","ClientEarth v. Polska Grupa Energetyczna","Case","POL","Poland","Poland","","<div>Environmental law organization ClientEarth is seeking to reduce greenhouse gas emissions from Europe's largest power plant, Belchatow. According to ClientEarth, Belchatow burns 45 million tons of a form of coal called lignite every year, and has emitted approximately 1 billion tons of carbon dioxide over its lifetime, making it Europe's greatest source of greenhouse gas pollution. ClientEarth alleges that the plant's operator, Polska Grupa Energetyczna, has not presented any official plan to reduce its climate impacts. The lawsuit seeks to block the plant operators from burning lignite - or require measures to reduce carbon dioxide emissions - by 2035. According to ClientEarth, the lawsuit arises out of Article 323 of Poland's 2001 Environmental Protection Law, which permits ecological organizations to demand that preventive measures be taken when an activity harms the environment as a common good.<br><br>On September 22, 2020, the judge in the case ruled that PGE must negotiate with ClientEarth to attempt to reach a settlement within three months to swiftly reduce Belchatow’s climate impacts. ClientEarth demands that PGE close 11 of 12 coal units at Belchatow by 2030, and the last by 2035, while PGE’s existing schedule would close them by 2040 after existing reserves are depleted. According to ClientEarth, this marks the first time a Polish Court has required a coal plant to engage in such negotiations to reduce climate emissions.</div>","","Mitigation","","<div>Environmental group sued to compel power plant operator to reduce greenhouse gas emissions under Polish law.</div>","Published",""
"7341","Sacchi et al. v. Argentina et al.","Case","INT","International","United Nations Committee on the Rights of the Child","","<div>Sixteen children filed a petition alleging that Argentina, Brazil, France, Germany and Turkey violated their rights under the United Nations Convention on the Rights of the Child (“the Convention”) by making insufficient cuts to greenhouse gases and failing to encourage the world’s biggest emitters to curb carbon pollution. The children ask the United Nations Committee on the Rights of the Child (“the Committee”) to declare that respondents violated their rights by perpetuating climate change, and to recommend actions for respondents to address climate change mitigation and adaptation.&nbsp;<br><br></div><div>Petitioners claim that climate change has led to violations of their rights under the Convention, including the rights to life, health, and the prioritization of the child’s best interest, as well as the cultural rights of petitioners from indigenous communities. For example, Deborah Adegbile of Nigeria asserts that she has been repeatedly hospitalized for asthma attacks triggered by rising temperatures and exacerbated smog. Ellen-Anne of Sweden alleges that climate change imperils her indigenous community’s traditional reliance on reindeer husbandry and herding. David Ackley III, Litokne Kabua, and Ranton Anjain of the Marshall Islands similarly claim that sea-level rise poses an existential threat to their culture.&nbsp;<br><br></div><div>Each respondent has ratified the Convention. All five have signed the Paris Agreement but, according to petitioners, none have made or kept commitments that align with keeping temperature rise under 2 degrees Celsius. The petition asserts that respondents have four related obligations under the Convention: (i) to prevent foreseeable domestic and extraterritorial human rights violations resulting from climate change; (ii) to cooperate internationally in the face of the global climate emergency; (iii) to apply the precautionary principle to prevent deadly consequences even in the face of uncertainty; and (iv) to ensure intergenerational justice for children and posterity. Petitioners allege that respondents have failed to prevent foreseeable human rights harms caused by climate change by making insufficient reductions to greenhouse gas emissions. Petitioners further claim that as members of the G20, respondents have failed to use available legal, diplomatic, and economic tools to protect children from the greenhouse gas pollution of major emitters including China, the United Stations, the European Union and India.<br><br></div><div>The children request that the Committee make findings including that climate change is a children’s rights crisis, and that each respondent has caused and is perpetuating climate change by knowingly acting in disregard of available scientific evidence. They also ask the Committee to recommend that the respondents review, and where necessary, amend their laws and policies to ensure that mitigation and adaptation efforts are accelerated; initiate cooperative international action to establish binding and enforceable climate measures; and ensure children’s right to be heard in all efforts to mitigate or adapt to the climate crisis. The Committee must determine if the petition is actionable before making findings or recommendations.&nbsp;<br><br></div><div>Brazil, France and Germany responded to the petition, arguing that it was not admissible on three grounds: 1) the Committee lacks jurisdiction; 2) the petition is manifestly ill-founded or unsubstantiated; and 3) petitioners have not exhausted domestic remedies. On May 4, 2020, the petitioners filed a reply asserting that the petition is admissible. They argue: 1) that the Committee has jurisdiction because the children are ""directly and foreseeably injured by greenhouse gas emissions originating in Respondents' territory;"" 2) the claims are manifestly well-founded because the children are suffering direct and personal harms now and will continue to in the foreseeable future; and 3) that pursuing domestic remedies would be futile.</div>","","Mitigation","Thunberg, Un Convention On The Rights Of The Child","<div>Whether respondents violated children's rights under international law by making insufficient cuts to greenhouse gas emissions and failing to use available tools to protect children from carbon pollution by the world's major emitters.</div>","Published",""
"7340","Certain Activities Carried Out by Nicaragua in the Border Area (Costa Rica v. Nicaragua)","Case","INT","International","International Court of Justice","I.C.J. Reports 2011-2018","On November 18, 2010, Costa Rica filed an action against Nicaragua in the International Court of Justice (ICJ), alleging an ""incursion into, occupation of and use by Nicaragua's army of Costa Rican territory as well as [alleged] breaches of Nicaragua's obligations towards Costa Rica"" under a number of international treaties and conventions. As part of this proceeding, Costa Rica sought compensation for the loss of environmental goods and services the country sustained due to Nicaragua's excavation of channels on its territory. Among the services for which Costa Rica sought compensation was the impaired ability of the excavated area to provide ""gas regulation and air quality services, such as carbon sequestration."" On February 2, 2018, the ICJ ruled how much Nicaragua must compensate Costa Rica for the loss of environmental services. This followed a ruling on the merits from December 16, 2015 that established that Nicaragua's activities were unlawful and violated Costa Rica's territorial sovereignty and navigational rights, as well as the Court's Order of 8 March 2011, and found that Costa Rica should be compensated for these unlawful activities.


Costa Rica argued that Nicaragua had, on two separate incidents, occupied the territory of Costa Rica in connection with the construction of a canal across Costa Rican territory from the San Juan River to Laguna los Portillos (or ""Harbor Head Lagoon"") and associated acts of dredging on the San Juan River. Nicaragua removed nearly 300 trees and cleared 6.19 hectares of vegetation in excavating the Costa Rican channels. The Costa Rican government sought compensation for the impaired ability of the excavated area to provide environmental goods and services including ""gas regulation and air quality services, such as carbon sequestration."" In ruling for Costa Rica, the ICJ reasoned that Nicaragua's activities significantly undermined the ability of the two areas to provide environmental goods and services. Because this loss of environmental services was a direct result of Nicaragua's actions, the ICJ ruled that Nicaragua must compensate Costa Rica US$120,000 for the impairment or loss of the environmental goods and services of the impacted area in the period prior to recovery. Furthermore, the ICJ did ""not consider that the impairment or loss"" of carbon sequestration services could be valued as a one- time loss. This was the first case wherein in ICJ adjudicated a claim for compensation for environmental damage.","","Mitigation","","Determine how the ICJ awards a country compensation for lost environmental goods and services, including gas regulation and carbon sequestration, resulting from another country's environment-damaging activities","Published",""
"7337","ExxonMobil Production Deutschland GmbH v Bundesrepublik Deutschland","Case","EUR","European Union","European Union","C-682/17","<div>On March 10, 2016, ExxonMobil filed a challenge against Germany in the Verwaltungsgericht Berlin (Administrative Court, Berlin, Germany), concerning an application to the German Emissions Trading Authority (DEHSt) for the allocation of greenhouse gas emission allowances (""ghg allowances"") free of charge to a Exxon-owned natural gas processing installation in Germany which, among other activities, engages in sulphur recovery that by the combustion of fuels generates electricity and heat and releases carbon dioxide (CO2) into the atmosphere.&nbsp;<br><br>The Administrative Court referred the case to the European Union's Court of Justice for a preliminary ruling interpreting the laws which establish a greenhouse gas emission allowance trading system with the European Union to determine whether this facility was entitled to ghg allowances free of charge. On June 20, 2019, the Court of Justice ruled that part of Exxon's natural gas processing plant in Germany should be classified as an electricity generator. The Court of Justice interpreted Article 3(u) and Article 10a of, and Annex I to, Directive 2003/87/EC of the European Parliament and of the Council (which established a scheme for greenhouse gas emission allowance trading within the EU) and as amended by Directive 2009/29/EC (""Directive 2003/87""). It additionally interpreted Article 3(c) and (h) of Commission Decision 2011/278/EU concerning rules for the temporary free allocation of emission allowances pursuant to Article 10a of Directive 2003/87.&nbsp;<br><br>The court concluded that Article 3(u) of Directive 2003/87/EC must be interpreted to mean that an installation, such as that at issue in the proceedings, (which produces electricity through the ""combustion of fuels in installations with a total rated thermal input exceeding 20 [megawatts (MW)]""), must be understood as an ‘electricity generator' when even a small portion of that electricity is continuously fed into the public electricity network (unless the product of the installation meets an exempted category in the annex). The installation in question could not be exempted even if its purpose was to produce electricity for the natural gas processing facility.&nbsp;<br><br>The Court of Justice further determined that Article 3(c) of Commission Decision 2011/278/EU must be interpreted to mean that an installation such as that at issue in the main proceedings is not entitled to be allocated free emission allowances for the heat produced ""where that heat is used for purposes other than the production of electricity, since such an installation does not fulfill the conditions laid down in Article 10a(4) and (8) of the directive."" The activities of natural gas desulphurisation and sulphur recovery did not meet the criteria of those articles. An analyst reviewing the decision noted that if it is followed by EU governments, it could result in thousands of facilities no longer qualifying for free allocation of ghg emission permits and drive up the cost of carbon in the market.</div>","","Mitigation","","<div>Whether a company can receive a free allocation of emissions allowances in the EU greenhouse gas emission trading scheme for a certain type of installation at a natural gas processing facility</div>","Published","1204"
"7333","Macquarie Generation v. Hodgson","Case","AUS","Australia","Australia","[2011] NSWCA 424; [2010] NSWLEC 34 (Australia)","<div>Peter Gray &amp; Naomi Hodgson v. Macquarie Generation [2010] NSWLEC 34: Environmental activists brought suit against a state-owned power company, seeking a declaratory judgment that one of their power stations had been emitting carbon dioxide into the atmosphere in a manner that has harmed or is likely to harm the environment in contravention of § 115(1) of the Protection of the Environment Operations Act 1997. Defendant Macquarie Generation's motion for summary dismissal was denied on March 22, 2010, although Justice Pain did dismiss the applicant's case in part. The court found that even if Defendant has an implied authority to emit some amount of carbon dioxide in generating electricity under its license, that authority is limited to an amount which has reasonable regard and care for people and the environment. Macquarie appealed the court's finding that it was subject to implied CO2 emissions limits. The implicit conditions were based on common law principles that require prevention of emissions in excess of levels that could be achieved by exercising ""reasonable regard and care for the interests of others and the environment."" The court of appeals reversed the lower court's decision, reasoning that these common law principles only protected private rights (such as a nuisance claim) and were not applicable to a permit granted under a statute.</div>","","Mitigation","","<div>Challenge court finding implied permit conditions limiting CO2 emissions</div>","Published",""
"7331","Sandra Bitter v. Bundesrepublik Deutschland (European Court of Justice, 2015)","Case","EUR","European Union","European Union","[2015] Case C-580/14","<div>Sandra Bitter, insolvency administrator for the German company Ziegelwerk Höxter GmbH, filed a for a preliminary ruling on whether a fine of EUR 100 per tonne of carbon dioxide emitted imposed by German authorities on non-surrendered emissions prior to the company's insolvency violated the principle of proportionality under Directive 2003/87/EC of the European Parliament and of the Council of 13 October 2003 establishing a scheme for greenhouse gas emission allowance trading within the Community and amending Council Directive 96/61/EC. Bitter argued that, because Ziegelwerk Höxter had ceased its business activity before the opening of insolvency procedures in September 2011, it was no longer obliged to report or surrender its emissions allowances for 2011. Instead, she claimed that Ziegelwerk Höxter's contingent liabilities were solely to be registered as claims in the insolvency procedure.&nbsp;<br><br>The Court held that the EU legislature must be allowed broad discretion in applying penalties and that the relatively high level of the penalty is justified by the need to have infringements of the obligation to surrender a sufficient number of allowances treated in a stringent and consistent manner throughout the European Union. The Court also noted that Directive 2003/87 grants operators a reasonable amount of time to comply with their surrender obligations and that the fact that the amount of the fine involved exceeded that of one in a previous case, in which the Court ruled that fines for penalties to surrender are consistent with the principle of proportionality, was irrelevant. In light of the principle of proportionality, the Court ruled, there is nothing in this case that affects the second sentence of Article 16(3) of Directive 2003/87, which does provide for a penalty of EUR 100 per tonne of carbon dioxide equivalent emitted for which the operator has not surrendered allowances.</div>","Other","Mitigation","Carbon Pricing","<div>Company challenged the principle of proportionality under EU ETS</div>","Published","1217"
"7330","Borealis AB, Kubikenborg Aluminum AB, Yara AB, SSAB EMEA AB, Lulekraft AB, Vórmevórden i Nynóshamn AB, Cementa AB, Haganós Sweden AB v. Naturvardsverket","Case","EUR","European Union","European Union","[2016] Case C-180/15","<div>Eight companies operating greenhouse gas emitting installations challenged the final emissions allocations decided by the Swedish Environmental Protection Agency during Phase III of the EU Emissions Trading Scheme (EU ETS) after the correction factor calculation had been applied. The operators argued that they were entitled to additional allowances because their installations consume heat from wasted greenhouse gases emitted at sub-installations. They argued that these additional allowances followed from a correct legal interpretation of Directive 2003/87/EC, Commission Decision 2013/448/EU, and Commission Decision 2011/278/EU. Previously, in Case C-191/14, the European Court of Justice (ECJ) ruled that the European Commission's correction factor calculation was invalid because it ignored relevant information, including information about what emissions fell under the purview of free allocation. The Court remanded the correction factor calculation to the European Commission, which it gave 10 months to correct.&nbsp;<br><br>The ECJ held that the ruling in Case C-191/14 applied to the facts of this case, and therefore that the operators are not entitled to additional allowances. It also reaffirmed its previous ruling that the European Commission has a period of 10 months from the decision in Case C-191/14 to correct the correction factor calculation, but also that any measures adopted by the European Commission during that period on the basis of the provisions invalidated by Case C-191/14 cannot be called into question. Lastly, it ruled that Commission Decision 2011/278/EU remains valid and must be interpreted in such a way as to prevent double-allocation of emissions allowances. The Court returned the case to the Swedish court for final ruling.</div>","","Mitigation","","<div>Legal validity of ""correction factor"" calculation for emissions allowances</div>","Published","1217"
"7329","Elektriciteits Produktiemaatschappij Zuid-Nederland EPZ NV v. Bestuur van de Nederlandse Emissieautoriteit","Case","EUR","European Union","European Union","[2015] Case C-158/15","<div>The European Court of Justice (EJC) held that a coal-fired power plant and unburned coal in a storage site constitute one installation covered by the EU Emissions Trading Scheme (EU ETS). The EJC further concluded that the coal lost due to self-heating while in storage could not be regarded as exported fuel for purposes of monitoring emissions.&nbsp;<br><br></div><div>Elektriciteits Produktiemaatschappij Zuid-Nederland EPZ NV (EPZ) operates a coal-fired power plant in the Netherlands and holds a quantity of its unburned coal in a storage site approximately 800 meters from the power plant, which is separated from it by a public road. When designing the monitoring plan for the installation operated by EPZ for the third period of the EU ETS, the Dutch Emissions Authority (Nea) determined that coal lost due to its self-heating during the storage period could not be regarded as fuel exported from EPZ’s installation within the meaning of Article 27(2) of Regulation No 601/2012.<br><br></div><div>Consequently, the NEa refused to approve modifications of the monitoring plan sought by EPZ and later rejected EPZ’s objection to their initial decision. EPZ then lodged an appeal with the Dutch Raad van State (Council of State), seeking to have the latter decision annulled. The Council of State referred the case to the EJC and asked for a preliminary ruling on two questions.<br><br></div><div>(1) Could EPZ’s storage facility be considered an “installation” as referred to in Article 3(e) of Directive 2003/87/EC, which established the EU ETS?&nbsp;<br><br></div><div>(2) Could EPZ’s lost coal due to its self-heating during storage be considered “fuel exported from the installation” as referred to in Article 27(2) of Regulation (EU) No 601/2012? That provision allows operators to deduct the quantity of fuel exported from the installation for purposes of monitoring greenhouse gas emissions.&nbsp;<br><br></div><div>On the first question, the ECJ ruled that a fuel storage site of a coal-fired power plant is part of an “installation” within the meaning of Article 3(e) of Directive 2003/87/EC. The ECJ reasoned that the coal’s self-heating during storage does not amount to combustion and that it was not apparent that the coal’s self-heating required 20 MW of thermal input - two of the requirements for the storage site to be considered an installation under Annex I of Directive 2003/87/EC. However, the ECJ ruled that the coal is essential to the functioning of the power plant and is therefore directly associated with the plant’s activity. Moreover, because the coal’s self-heating emits greenhouse gases, storing coal is an activity that could have an effect on emissions and pollution within the meaning of Article 3(e) of Directive 2003/87/EC. The ECJ deemed it irrelevant that the storage site is located approximately 800 meters and across a public road from the power plant.<br><br></div><div>On the second question, the ECJ ruled that coal lost due to self-heating while in storage on a site that is part of an installation cannot be regarded as coal exported from that installation. Because the storage site is part of an installation within the meaning of Article 3(e) of Directive 2003/87/EC, it cannot be regarded as a separate installation. Therefore, coal lost due to self-heating cannot be considered to be exported from the installation in question.</div>","Energy","Mitigation","Coal","<div>Corporation challenged monitoring plan for coal storage</div>","Published","1217"
"7328","Schaefer Kalk GmbH & Co. KG v. Bundesrepublik Deutschland","Case","EUR","European Union","European Union","[2016] Case C-460/15","<div>Schaefer Kalk GmbH &amp; Co. KG (Schaefer Kalk) operates an installation for the calcination of lime in Hahnstótten, Germany, which is subject to the European Union Emissions Trading Scheme (ETS). In the process of getting its monitoring plan approved, Schaefer Kalk applied for authorisation to subtract the CO2 transferred for the production of precipitated calcium carbonate (PCC) to an installation not subject to the ETS from the amount of greenhouse gas emissions in the company's emissions report. Schaefer Kalk argued that the transferred CO2 is chemically bound in the PCC and that, not being emitted into the atmosphere, it cannot be regarded as ""emissions"" as defined in Article 3(b) of Directive 2003/87/EC.&nbsp;<br><br>The German Emissions Trading Authority at the Federal Environment Agency (DEHSt) approved the monitoring plan without addressing the issue of subtracting transferred CO2. Schaefer Kalk brought a complaint to the DEHSt, which was rejected. The DEHSt argued that subtraction was not legal under Article 49 of Regulation (EU) No 601/2012 and Annex IV thereto, which only provides that CO2 transferred to one of the long-term geological storage installations listed in that article may be subtracted from the emissions. Schaefer Kalk subsequently brought the matter before the Berlin Administrative Court and argued that Article 49(1) of Regulation No 601/2012 and point 10(B) of Annex IV thereto subject CO2 bound in PCC and transferred for the production of that substance to mandatory participation in the ETS, and are therefore not covered by the powers granted under Article 14(1) of Directive 2003/87/EC.&nbsp;<br><br>The Berlin Administrative Court then referred the matter to the European Court of Justice (ECJ). The ECJ held that the second sentence of Article 49(1) of Regulation No 601/2012 and point 10(B) of Annex IV to that regulation are invalid in so far as they systematically include the CO2 transferred to another installation for the production of PCC in the emissions of the lime combustion installation, regardless of whether or not that CO2 is released into the atmosphere.</div>","","Mitigation","","<div>Company challenged rejection of application to subtract CO2 that is subsequently chemically bound and not emitted from its emissions report</div>","Published","1217"
"7327","ArcelorMittal Rodange et Schifflange SA v. State of the Grand Duchy of Luxembourg","Case","EUR","European Union","European Union","[2015] Case C-321/15","<div>ArcelorMittal Rodange et Schifflange SA (ArcelorMittal) operated an installation in Schifflange, Luxembourg until the end of 2011, which was subject to the EU emissions trading scheme (ETS). Luxembourg's Minister of the Environment allocated ArcelorMittal a total quantity of 405,365 emissions allowances for the period between 2008 to 2012. On 23 April 2012, ArcelorMittal requested that the Minister of the Environment cease environmental monitoring because the activities of its Schifflange installation had been suspended for an indefinite period since the end of 2011. On 6 June 2013, the Minister of Sustainable Development and Infrastructure (1) reduced the total emissions allowances allocated to ArcelorMittal between 2008 to 2012 and (2) requested that ArcelorMittal surrender 80,922 emissions allowances without compensation based on Article 13(6) of a Luxembourgish law transposing Directive 2003/87/EC.<br><br></div><div>The question before the European Court of Justice (ECJ) in this case was whether Article 13(6) of the 2004 law, which allows the relevant Luxembourgish minister to order the surrender, without full or partial compensation, of allowances issued but not used, is compatible with Directive 2003/87/EC, or whether Directive 2003/87/EC must be interpreted as precluding national laws that allow the competent authorities to require the surrender without compensation of emissions allowances that have been issued but not used. The ECJ held that Directive 2003/87 must be interpreted as not precluding national legislation that allows competent national authorities to require the surrender, without full or partial compensation, of unused allowances that have been improperly issued to an operator, as a result of the failure by the latter to comply with the obligation to inform the competent authority in due time of the cessation of the operation of an installation. It also held that the allowances issued after an operator has ceased the activities performed in the installation to which those allowances relate, without informing the competent authority beforehand, cannot be classified as emissions ""allowances"" within the meaning of Article 3(a) of Directive 2003/87.</div>","","Mitigation","","<div>Company challenged the surrender without compensation of emissions from an installation whose objectives have been suspended</div>","Published","1217"
