"Id","Law Id","Title","Legislation type","Description","Parent","Geography","Geography iso","Sector","Frameworks","Responses","Document types","Keywords","Natural hazards","Visibility status"
"2041","","Energy Conservation Law","legislative","The Act aims to strengthen energy conservation, particularly for key energy-using entities, promote efficient use of energy and adoption of energy conservation technology. The Act requires the government to encourage and support the application of renewable energy in various areas.<br />
<br />
Monitoring arrangements: the National People's Congress serves as the monitoring body.","","China","CHN","Energy","","Mitigation","Law","Transportation, Institutions / Administrative Arrangements, Energy Demand, Research And Development","","published"
"8648","","Act on Rational Use and Proper Management of Fluorocarbons","legislative","The purpose of this unenforced Act is to establish guidelines for the Rational Use of Fluorocarbons and the Proper Management of Fluorocarbons used in Specified Products, and to set forth the responsibility, etc. of Manufacturers, etc. of Fluorocarbons and Products Using Fluorocarbons and Managers of Specified Products, as well as to take measures, etc. for the Rational Use of Fluorocarbons and the Proper Management of Fluorocarbons used in Specified Products, in order to control the emission into the atmosphere of Fluorocarbons that deplete the ozone layer or have a serious impact on Global Warming.","","Japan","JPN","Transportation","","","Law","Industry","","published"
"2029","","Renewable Energy (Electricity) Act 2000","legislative","The Renewable Energy (Electricity) Act 2000 in its latest version as of 10 March 2016, also called ""Act for the establishment and administration of a scheme to encourage additional electricity generation from renewable energy sources, and for related purposes"", aims to:<br />
<ul><br />
<li> ""encourage the additional generation of electricity from renewable sources; </li><br />
<li> reduce emissions of greenhouse gases in the electricity sector; and</li><br />
<li> ensure that renewable energy sources are ecologically sustainable"" (Art 3).</li><br />
</ul><br />
These objectives are to be reached through issuing of certificates for the generation of electricity, with two types of renewable energy certificates:<br />
<br />
<ul><br />
<li>large?scale generation certificates, created in relation to the generation of electricity by accredited power stations; and</li><br />
<li>small?scale technology certificates, created in relation to the installation of solar water heaters and small generation units (Art 17B).</li><br />
</ul><br />
The certificates can only be issued for eligible renewable energy sources, including hydro, wave, tide, ocean, wind, solar, geothermal?aquifer, hot dry rock, energy crops, wood waste, agricultural waste, waste from processing of agricultural products, food waste, food processing waste, bagasse, black liquor, biomass?based components of municipal solid waste, landfill gas, sewage gas and biomass?based components of sewage, and any other energy source prescribed by the regulations. (Art 17).<br />
Certain purchasers (called liable entities) are required to surrender a specified number of certificates for the electricity that they acquire during a year.<br />
Liable entity is defined as ""a person who, during a year, makes a relevant acquisition (wholesale acquisition or wholesale notional acquisition - <em>author's note</em>) of electricity"" (Art 35). Exemption applies if:<br />
<br />
<ol><br />
<li> ""the electricity was delivered on a grid that has a capacity that is less than 100 MW and that is not, directly or indirectly, connected to a grid that has a capacity of 100 MW or more; or</li><br />
<li> the end user of the electricity generated the electricity and either of the following conditions are satisfied: (i) the point at which the electricity is generated is less than 1 km from the point at which the electricity is used; (ii) the electricity is transmitted or distributed between the point of generation and the point of use and the line on which the electricity is transmitted or distributed is used solely for the transmission or distribution of electricity between those 2 points"" (Art 31).</li><br />
</ol><br />
Where a liable entity does not have enough certificates to surrender in a year, it will have to pay renewable energy shortfall charge. There are 2 types of renewable energy shortfall charge:<br />
<br />
<ol><br />
<li>""large?scale generation shortfall charge, which is calculated by reference to a liable entity's relevant acquisitions of electricity, its exemptions, the number of large?scale generation certificates it surrenders and the renewable energy power percentage; and</li><br />
<li>small?scale technology shortfall charge, which is calculated by reference to a liable entity's relevant acquisitions of electricity, its exemptions, the number of small?scale technology certificates it surrenders and the small?scale technology percentage"" (Art 34A).</li><br />
</ol><br />","","Australia","AUS","Water;Waste;Energy;Agriculture","","","Law","Energy Supply, Institutions / Administrative Arrangements","","published"
"2010","","Act on Renewable Energy Sources ('RES Act', Dz.U. 2015 poz. 478)","legislative","This Act defines the new regime for support to renewable energy sources (including wind energy, energy radiation of the sun, solar, aerothermal, geothermal, hydrothermal energy, hydropower, waves, currents error and tidal energy obtained from biomass, biogas, agricultural biogas and bioliquid - art. 2.22), aiming to stabilise the long-term support system, with the goal to prevent electricity prices form increasing in an uncontrolled manner. The Act also transposes the Directive 2009/28/EC on renewable energy into Polish legislation and aims to contribute to Poland's target of reaching 15% share of renewable energy production by 2020.
The Act will provide continuing support to most existing installations (in operation by or before 31 December 2015) through certificates of origin, while future investments will compete for support through an auction system organised by the President of the Energy Regulatory Office (ERO).
The auctions, applying to new installations over 10 kW of installed capacity, will be based on a type of contract-for-difference (CfD) granted, with separate auctions for old and new plants and for plants of 1 MW or less, as well as varied reference prices for the eighteen renewable sources reference groups. The chosen renewable plants will have to start generation within 24 months (solar plants), 72 months (wind plants) or 48 months (others), and they will be required to deliver at least 85% of the volume offered in the bid, under threat of penalty. The energy auctioned will be bought by the newly formed state-owned entity Operator Rozlicze? Energii Odnawialnej (for energy produced in installations above 500kW) or by electricity distribution companies (for energy produced in installations up to 500kW). Most existing installations will also be eligible to change to the auction support instrument from the current certificates of origin, except for hydropower plants over 5 MW, non-qualified biomass co-firing installations (art. 44) and biomass installations exceeding 50 MW of electrical power (or 150 MW of CHP power).
The existing installations will continue to be eligible for the existing system of support through certificates of origin (introduced through the 1997 Energy Law), but a number of limits will apply:
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>support for max 15 years from the start of renewable energy production in the given installation;</li>
</ul>
</li>
</ul>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>support for hydropower of max 5 MW of capacity;</li>
</ul>
</li>
</ul>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>support for biomass co-firing installations of less than 150 MW capacity capped to equivalent of the average generation over 2011-2013;</li>
</ul>
</li>
</ul>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>large consumers (over 100 GWh of electricity consumed annually) and commodity brokerage houses are required to obtain certificates of origin for 14% and 15% of their annual electricity consumption for 2015 and 2016 respectively or pay the substitution fee. From 2017 the share is min 20%, but can be reduced by the Minister of Economy, if necessary due to specific market conditions. A unit substitution fee is set to a constant 300.03 PLN/MWh (2014 level, approx. 72 €/MWh), which should stabilise the price of certificates, as purchasing and redeeming of certificates of origin will only be allowed if the average market price of certificates remains below 75% of the substitution fee.</li>
</ul>
</li>
</ul>
The Act also introduces a feed-in tariff system for micro installations of up to 10 kW (max 40 kW under special conditions - art. 41.7), while guaranteeing purchase by electricity distribution companies at 100% of market price for the next 15 years, until no later than December 31, 2035 (art. 41.5). The support also covers the so-called ‘prosumers,' who both produce and consume their own electricity. The subsidies amount to PLN 0.75 (EUR 0.18) per kWh to prosumers with a capacity of up to 3 kW (hydropower, wind, solar), and PLN 0.40-0.70 (EUR 0.10-0.17) for those with a capacity between 3 and 10 kW (biogas, hydropower, wind, solar). Moreover, there are no licensing/concession requirements for those micro generators that do not have active business.

The Act was amended in June 2018, alongside the 2016 Act on investments in wind power and the 1994 Construction Act, in order to boost offshore wind investment. It was further amended in August 2019 to extend the agreements on grid connection and updates the auction mechanism.","","Poland","POL","Transportation;Energy;Agriculture","","","Law","Energy Supply, Institutions / Administrative Arrangements, Energy Demand","","published"
"1817","","Document CONPES 3700 on the Institutional Strategy for the Articulation of Policies and Actions in Climate Change","executive","The main objective of CONPES 3700 is to outline a mechanism for institutional co-ordination to incorporate climate change into sectorial and territorial decision making, the National Climate Change System (SISCLIMA).<br />
<br />
CONPES 3700 recommended the creation of SISCLIMA as the official national institution to coordinate and propel climate change actions. Within these actions, SISCLIMA will co-ordinate the implementation of the four climate change priority strategies defined by the government: CCNAP, CLCDS, ENREDD+ and the Strategy for Fiscal Protection Against Natural Disasters. It is expected that these strategies will need to formulate their own financing strategy and to add a component for private sector investment.<br />
<br />
The proposed approach is one whereby climate change initiatives will be built through a bottom-up approach. Four permanent committees at the base of the SISCLIMA structure will coordinate, shape and implement sectoral and territorial policy as well as international affairs for climate change adaptation and mitigation based on detailed technical studies carried out on specialised working groups. The Finance Committee (FC) will act as coordinator of financing activities and offer support to those initiatives seeking financial support by directing efforts to identify and coordinate sources of finance available at the national and international levels. Finally, at the very top of the system, the Inter-Sectoral Commission on Climate Change (COMICC) will bring together various ministries and key national institutions to co-ordinate and direct institutional efforts on climate change and act as the connection point between SISCLIMA and the wider government, including the presidency. COMICC will also share findings and guide policy at the highest level of the national government on climate change issues. The final structure however is still under revision.<br />
<br />
A Presidential Decree is required to give effect to CONPES 3700. At the time of writing (November 2014) this has not been issued and meanwhile successive drafts of the REDD+ Readiness Preparation Proposal (R-PP) have introduced further refinements. For example, CONPES 3700 envisages that SISCLIMA will be directed by an Executive Committee (COMECC). The latest drafts of the R-PP have sought to make SISCLIMA's governance more inclusive; COMECC has now become an Inter-Sectoral Committee (COMICC).","","Colombia","COL","Transportation;Residential and Commercial","","","Strategy","Institutions / Administrative Arrangements","","published"
"1311","","National Plan For Tackling Climate Change 2014-2020","executive","The National Plan For Tackling Climate Change is a comprehensive government strategy that covers mitigation, adaptation, scientific research and public awareness. It includes chapters on 'Status and Prospects', 'Guidelines And Main Objectives', 'Controlling Greenhouse Gas Emissions', 'Adapting To The Impacts of Climate Change', 'Implementation Of Pilot Demonstration Projects', 'Improving The Regional Response To Climate Change', 'Incentives And Restraint Mechanisms', 'Strengthening Scientific And Technological Support', 'Capacity Building', 'Deepening International Exchanges And Cooperation' and 'Performance and Evaluation'.<br />
<br />
The plan's targets are: by 2020, to cut carbon emissions per unit of GDP by 40-45% from 2005 levels, to increase the percentage of non-fossil fuels in primary energy consumption to 15% and to increase the proportion of forest area and stock volume by 40m ha and 1.3m m3 respectively from a 2005 baseline.","","China","CHN","Transportation;LULUCF;Energy","","Adaptation","Plan","Redd+ And Lulucf, Energy Supply, Institutions / Administrative Arrangements, Energy Demand, Research And Development","","published"
"1152","","The Danish Climate Policy Plan","executive","The Climate Policy Plan set a target of 40% reduction in emissions by 2020 compared to the 1990 levels and outlined the government's proposal for a Climate Change Act. Oil for heating purposes and coal are to be phased out by 2030, and electricity and heating supply is to be 100% covered by renewable energy by 2035. Further non-ETS reductions for the period of 2013-2020, is set to 20% by 2020 compared with 2005.","","Denmark","DNK","Energy","","Mitigation","Plan","Redd+ And Lulucf, Transportation, Energy Supply, Institutions / Administrative Arrangements, Energy Demand","","published"
"8267","","Energy Resources Regulations (Energy labeling of electric heating furnaces), 1993","executive","Energy efficiency labelling requirements are set for electric heating furnaces and induction motors.","","Israel","ISR","Energy","","","Regulation/Rules","Energy Demand","","published"
"1559","","Strategy for Energy Security and Environment (ESE)","executive","The 2014 Strategy for Energy Security and Environment (ESE) identifies key reforms and necessary steps for cleaner energy and to safeguard the security of energy supply up to 2020. The key objectives of the strategy include sustainable management of the environment through measures like water management, preservation of biodiversity and effective management of mineral resources. The policy strives to ensure energy supply through measures such as better use of domestic energy resources, improved energy efficiency and modernisation of power industry including development of nuclear power. The policy document also calls for measures to improve the environment through reduction in air pollution, particularly lead, cadmium and particulate matter, cuts in industrial sector water use and better waste management. The government will also work towards carbon capture and storage solutions and gasification of coal, which is expected to remain the nation's main source of energy.","","Poland","POL","Environment;Water;Waste;Transportation;Industry;Energy","","Mitigation","Strategy","Transportation, Energy Supply, Energy Demand, Research And Development","","published"
"1575","","Resolution of Council of Ministers 68/2005, establishes the National System for the Estimation of Emissions by Sources and Removals by Sinks and Air Pollutants (SNIERPA)","executive","This Resolution establishes the National System for the Estimation of Emissions by Sources and Removals by Sinks and Air Pollutants (SNIERPA). It contains a set of legal, institutional and procedural arrangements that aim at ensuring the accurate estimation of emissions by sources and removals by sinks of GHG and other air pollutants.<br />
<br />
SNIERPA is composed of three technical elements: a quality assurance and quality control system; a methodological development programme; and an integrated IT system.<br />
<br />
The Resolution defines the Institute for the Environment as the responsible entity for the inventory preparation and for its submission to the relevant international organizations. The Resolution also defines the duties, tasks, and responsibilities of all the entities engaged in estimating emissions. It also includes a procedure for the final approval of the inventory.","","Portugal","PRT","","","","Policy","Redd+ And Lulucf, Institutions / Administrative Arrangements, Research And Development","","published"
"1570","","Resolution of Council of Ministers 93/2010 mandating the development of a new regulatory framework for post-2010 climate policy in Portugal","executive","This Resolution establishes that the Government will draft different documents to address the challenges of climate change arising from commitments for the post-2012 period:
- a National Low Carbon Roadmap, with horizons of 2020, 2030 and 2050, taking into account the European Low Carbon Guideline, prepared by the Commission, and its lessons for national climate policy in the short and medium term
- a National Climate Change Plan 2020, listing the measures for emission reduction aimed at attaining, at least, the targets stipulated by the Effort Sharing Decision and preparing higher targets for the country, to be defined by community institutions
- Low Carbon Sector Plans, stipulating the contribution by the different ministries and departments (including related enterprises) towards the reduction of their indirect emissions.","","Portugal","PRT","","","","Policy","Institutions / Administrative Arrangements","","published"
"1563","","Regulation of the Council of Ministers on types of programmes and projects to be implemented under the National Green Investment Scheme (GIS)","legislative","This implements the Article 22(3) of the Act on the System to Manage the Emissions of GHGs and Other Substances of 17 July 2009. The regulation stipulates the types of programmes and projects to be implemented in the areas referred to in Article 22(2) of the Act on the system to manage the emissions of GHGs and other substances of 17 July 2009.<br />
<br />
It also stipulates the following:<br />
- Improvement of energy efficiency in various sectors;<br />
- Improvement of coal use efficiency including clean coal technologies;<br />
- The use of low-emission fuels;<br />
- Avoidance or reduction of GHG emissions in the transportation sector;<br />
- Use of renewable energy sources;<br />
- Avoidance or reduction of methane emissions by recycling and use in the mining industry, waste and waste-water disposal and in farming, as well as by use in power generation; actions in relation with GHG sequestration;<br />
- Other actions to reduce or avoid national emission of GHGs or to absorb CO2 and adapt to climate change;<br />
- Research and development works on the use of renewable energy sources and advanced and innovative environmentally friendly technologies; and<br />
- Educational activities, including training events in support of the national obligations.","","Poland","POL","Water;Waste;Transportation;Industry;Energy;Agriculture","","Mitigation","Law","Redd+ And Lulucf, Transportation, Energy Supply, Institutions / Administrative Arrangements, Energy Demand, Research And Development","","published"
"1561","","Energy Efficiency Law","legislative","This Act transposes Directive 2006/32/EC into Polish law, establishing the legal framework for stimulating investment in energy efficiency in Poland. The system is based on the obligation of the specified entities to obtain and present for cancellation to the President of the Energy Regulatory Authority specified number of certificates of energy efficiency (the so called white certificates) or the payment of a replacement fee. This obligation has been imposed on energy companies selling electricity, heat and natural gas to end-users connected to the Polish network, as well as end-users of energy and brokerage houses and commodity brokerage houses, conducting transactions on a commodity exchange market.<br />
<br />
Following the issuance of the EEL, the Ministry of Economic Affairs issued secondary legislation to enable the EEL to enter into force: Decree of 10 August 2012 that detailed the procedure of energy efficiency audit and describes the methods of computing energy savings; Decree of 4 September 2012 on computing primary energy savings for the purpose of the White Certificate System (WCS) and the compensation fee in the system; Decree of 23 October 2012 on the procedures of the bid for the White Certificates and listed the eligible energy efficiency means eligible in the WCS.<br />
<br />
The original EEL was amended on 10 October 2012, dropping the articles that defined specific requirements of the energy efficiency auditors. This move was mainly induced by the government's policy to open different occupations to make the market of services they provide more competitive and flexible.<br />
The extent of the current Energy Efficiency Law (EEL) is limited to 2016 and due to some legal constraints the bill cannot be amended. Therefore the law is planned to be replaced by a new legal act that will extend the duration of energy efficiency law beyond 2016.","","Poland","POL","Energy","","","Law","Institutions / Administrative Arrangements, Energy Demand","","published"
"1521","","Offshore Energy Act No. 21 of 2010","legislative","Offshore renewable energy production in Norway is governed by the Offshore Energy Act. Under this act, the construction of offshore wind power and other renewable energy production units/facilities at sea can only take place after the Norwegian Government has opened specific geographical zones for licence applications. The opening of zones requires that a strategic environmental assessment (SEA) is carried out.","","Norway","NOR","Transportation;Energy","","","Law","Energy Supply, Institutions / Administrative Arrangements","","published"
"2046","","National Climate Change Decree (SISCLIMA)","executive","The Decree of the National Climate Change (SISCLIMA), aims to 'coordinate, articulate, formulate, monitor and evaluate policies, rules, strategies, plans, programs, projects, actions and measures related to the adaptation to climate change and mitigation of greenhouse gases' through collaboration between public, private and nonprofit entities (Art 1).<br />
The Decree creates the Intersectional Commission on Climate Change, to implement and coordinate climate efforts on the national level, and Regional Nodes for Climate Change, responsible for ""promoting and supporting implementation of climate change policies, strategies, plans, programs, projects and actions in regions"".<br />
The Commission's aims are (Art 4):<br />
<br />
<ol><br />
<li>Coordinate climate change efforts and commitments on national, regional, local and international levels.</li><br />
<li>Integrate climate change strategies and plans with economic, social and environmental development, taking into account priorities needed to achieve sustained economic growth, eradication of poverty and sustainable use of natural resources.</li><br />
<li>Coordinate public and private climate change efforts in different economic sectors and with civil society efforts.</li><br />
<li>Identify and use opportunities to promote sustainable development based on activities of adaptation to climate changes and GHG emissions reduction.</li><br />
<li>Aim to reducing vulnerability of population the most affected by the effects of climate change.</li><br />
<li>Encourage citizen participation in decision-making on matters related to climate change.</li><br />
<li>Promote implementation of measures for climate change adaptation and GHG mitigation.</li><br />
<li>Harmonies evaluation criteria and mechanisms for monitoring responsibilities for adaptation to climate change and GHG mitigation.</li><br />
</ol>","","Colombia","COL","","","","Decree/Order/Ordinance","Institutions / Administrative Arrangements","","published"
"2044","","RES Decree 2016 and RES Decree 2019-2021","executive","The Ministerial Decree providing incentives to electricity production from renewable energy sources (The RES Decree) 2016 updates the allocation scheme of incentives to renewable energy other than photovoltaic. The scheme covers wind farms, hydro, biomass and biogas, CSP and other non-photovoltaic renewable energy sources for the year 2016. It maintains the structure of the previous incentive 2012-2015 regime, while decreasing the value of overall incentives available.
As in the previous scheme, renewable energy plants may benefit from:
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>All-inclusive tariff, applicable to Plants with capacity up to 500kW; or</li>
</ul>
</li>
</ul>

<ul>
<li style=""list-style-type: none;"">
<ul>
<li>Feed-in tariff, applicable to Plants with capacity up to 500kW which do not opt for the above All-Inclusive Tariff, and Plants with nominal capacity greater than 500kW.</li>
</ul>
</li>
</ul>


Incentives are granted either through registry procedure (plants with capacity below 5MW) or tender procedures (reverse auctions; plants with capacity above 5MW).
The overall cap on incentives for RES plants remains at €5.8 billion per year.



The 2019 decree updates the 2016 text to promote renewable energy production over the period 2019-2021.","","Italy","ITA","Energy","","","Decree/Order/Ordinance","Energy Supply","","published"
"8266","","Energy Resources Regulations (Examining the efficient combustion of Oil or Gas Heaters), 2004","executive","The regulations set energy efficiency standards for induction motors, preventing the manufacturing, sale, import, marketing or exhibition of Boilers or generators for hot water, hot air or thermal oil with an output greater than 580 kilowatts, if they fail to meet the standards set in the regulations.","","Israel","ISR","Water;Transportation;Energy","","","Regulation/Rules","Energy Demand","","published"
"1416","","Law Concerning the Rational Use of Energy (Energy Conservation Act) (Law No.49 of 1979)","legislative","The Law is the pillar of Japanese energy conservation policy as well as one of the two key climate law. It was enacted in 1979 in the light of the oil shock with a purpose of promoting effective and rational use of energy. It covers the following sectors: energy management in the industrial, commercial, residential and transportation sectors; energy efficiency standards for vehicles and appliances. The subjects of the Law are factories and workplaces that consume more than 1,500kL of oil equivalent energy annually. Among factories, there are two categories: Factory I that uses more than 3,000kL equivalent; and Factory II that uses between 1,500-3,000kL equivalent. Currently, it covers approximately 90% of the operators in the industrial sector.<br />
<br />
Energy defined under this Law covers energies derived from oil, natural gas, coals, heat (fossil-derived) and other sources of energy derived from the above. Electricity derived from renewable sources such as solar PV, wind and biomass are not subject for this Law. Designated businesses are required to produce reports (regular reporting for Factory II, both regular and mid-term reporting for Factory I) to the Energy Agency of the Ministry of Economy, Trade and Industry. The purpose of this is to report amount of fuel, heat and electricity used in the subject period. Reduction target of 1% on average is set out under the law, with a fine up to JPY1m (USD8,495) according to the violation.<br />
<br />
This Law also mandates an appointment of licensed energy managers for the designated businesses. Other measures include energy efficiency standards for vehicles and appliances, energy conservation labelling, energy regulation for housing and building and Positive Evaluation of Action to Reduce Peak Demand Electricity.<br />
<br />
The Top Runner Programme was introduced in a 1990 amendment, which certifies manufacturers and other entities that satisfy 'Top Runner' criteria. Criteria for the energy-saving performance regarding their products within the target fiscal years (within 3 to 10 years) are set based on the performance of the products with the highest (according to latest level) energy consumption efficiency (top runner performance). The programme applies to machinery, equipment, and building materials, as well as LED lamps and three phase induction motors. The last amendment, in November 2014, added windows to the programme.","","Japan","JPN","Transportation;Industry;Energy;Residential and Commercial","","Mitigation","Law","Transportation, Energy Demand","","published"
"1414","","Law Concerning Special Measures for Promotion of New Energy Use (Special Measures Law for Promoting the Use of New Energy) (Law No.37 of 1997)","legislative","The Law aims to accelerate the advancement of the introduction of New Energy. This Law, while clarifying the role of each area for the overall advancement of new energy usage, provided financial support measures for utilities that use new energy. New energy is non-fossil energy, as defined in the Law Concerning the Promotion of Development and Introduction of Oil Alternative Energy (1980, see below).<br />
<br />
Based on this Law, a fundament policy to provide for basic matters concerning measures for each area that the public, utilities and governments should consider was determined in September 1997. The amendment added 'New Energy use, etc.' to Article 1 of the Act. Then, Biomass Energy and Cool Energy could be added. In April 2008, the definition of 'New Energy' was changed and became almost equivalent to renewable energy, but large-size hydropower generation and geothermal power are excluded.","","Japan","JPN","Energy","","","Law","Energy Demand","","published"
"1408","","Act Partially Amending the Law on Special Tax Measures (Tax Reform Act 2012) (Law No. 16 of 2012)","legislative","Part of the tax reform implemented by this amendment Act is the introduction of a carbon tax for climate change mitigation purpose, beginning in October 2012. The tax builds onto the pre-existing tax regime on crude oil, gaseous hydrocarbon and coal imports (JPY2,040, JPY1,080 and JPY700 (USD17.33, USD9.17 and USD5.95 respectively). The amount of tax that companies have to pay on a kilolitre of oil was introduced at a rate of JPY250 (USD2.12) during the fiscal year to March 2013. The tax will be increased to JPY260 (USD2.21) from April 2016. All the tax revenue will be allocated to curb energy-oriented CO2 emission, including introduction of renewable energy and enhancement of energy-saving measures.","","Japan","JPN","Transportation;Energy","","","Law","Carbon Pricing","","published"
"1401","","Fund for GHG emissions reduction and energy efficiency (Finance Law 2001)","legislative","The financial law, approved at the end of the year 2000, establishes a fund for the reduction of atmospheric emissions and the promotion of energy efficiency and sustainable energy sources. The fund is financed from a portion equal to 3% of the receipts accruing from Italy's carbon tax.<br />
<br />
The fund will finance up to 80% of the cost of programmes for installation of solar collectors (mostly PV), particularly in southern Italy. The fund will also finance reforestation programmes to increase absorption of CO2.","","Italy","ITA","Transportation;LULUCF;Energy","","","Law","Redd+ And Lulucf, Energy Supply, Institutions / Administrative Arrangements, Energy Demand","","published"
"1398","","Introduction of the Green Certificates System","executive","This legislation completes the introduction of a cap-and-trade mechanism to promote renewable energy sources. It introduces the green certificates that producers and importers can buy.<br />
<br />
Energy - demand-side policies: the 1999 Electricity Liberalisation Act and Decrees from the Ministries of Trade and Industry and of Environment (Legislative decree 79/99 of 16 March 1999 entitled; Ministry of Productive Activities decree 18.03.02; Followed by Ministry of Productive Activities decree 14.03.04, implementing the rules for the green certificates) introduced a cap-and-trade mechanism to promote renewable energy sources. It required Italian energy producers and importers (producing or importing more than 100 GWh/year from conventional sources) to ensure that a certain quota of electricity fed into the grid comes from renewable energy sources, aiming at a general reduction of CO2 emissions of about 4Mt - 6Mt by 2006.<br />
<br />
A 2% quota obligation was set, strengthened in 2003 and again in 2008. Producers and importers can comply with the obligation by means of green certificates. They can buy those certificates through bilateral contracts or by participating in the green certificates platform (managed by GME, the energy markets operator).<br />
<br />
Suppliers can fulfil the obligation by buying green certificates from eligible new renewable energy plants, by building new renewable energy plants or by importing electricity from new renewable energy plants from countries with similar instruments on the basis of reciprocity. Renewable energy producers in operation before 31 December 2007 can obtain green certificates for 12 years. Subsequent regulatory interventions have increased the incentive period to 15 years.","","Italy","ITA","Energy;Residential and Commercial","","","Policy","Carbon Pricing, Energy Supply, Institutions / Administrative Arrangements","","published"
"1397","","Reorganisation of Energy Sector Regulation (Law no. 239)","legislative","In 2004, the Italian government devolved power to Italian regions to promote energy efficiency and renewable energy sources while maintaining the national scale of such promotion.<br />
<br />
Energy - demand-side policies: several measures served to reorganise the energy markets and encourage competition, including the expansion of green certificate trading from renewable and CHP projects to include hydrogen. The law also reduces the size of green certificates from the initial value of 100 MWh to 50 MWh.","","Italy","ITA","Energy","","","Law","Institutions / Administrative Arrangements, Energy Demand","","published"
"1395","","White Certificate Trading for End-Use Energy Efficiency","executive","Two Decrees voted in 2004 require electricity and gas suppliers to help their customers save energy and engendered the 2005 White Certificates trading scheme.<br />
<br />
The two decrees repealed two previous decrees of 2001 about the identifi-cation of quantitative national targets for energy savings and development of renewable sources.<br />
<br />
Energy - demand-side policies: In compliance with specific energy conservation targets, all Italian electricity and gas distributors with at least 100,000 end customers at the close of 2001 can - as of May 2006 - trade white certificates of certified energy savings.<br />
<br />
The white certificates represent marketable documents issued by the Energy Market Administrator testifying the energy saved by the energy distribution companies - as well as by their controlled partnerships - and by the Energy Service Companies (ESCO). The white certificates can be exchanged by means of bilateral contracts, or in the frame of a specific market ruled by GME.<br />
<br />
Energy service providers, subsidiaries of electricity and gas distributors and distributors themselves will all sell energy efficiency certificates (white certificates) each representing primary energy savings of one tonne of oil equivalent (toe).<br />
<br />
Distribution companies must meet specified energy savings targets, either by implementing energy conservation projects that benefit their customers, which will earn them white certificates, or through the purchase of white certificates produced by energy conservation projects undertaken by others.","","Italy","ITA","Energy","","","Policy","Carbon Pricing, Energy Supply, Institutions / Administrative Arrangements, Energy Demand","","published"
"1393","","Finance Laws with particular climate measures","legislative","Energy efficient buildings and biofuel blend incentives (2010 Finance Law):<br />
<ul><br />
<li>The Finance law 2010 provides incentives for energy efficient buildings and the use of biofuel. Fossil fuels are subject to specific excise duties on the basis of weight or volume units. Biofuels are incentivised through a reduction of this excise duty. In particular, the Budget Law 2010 defines a maximum of 18,000 tonnes of biofuels that can benefit from this reduction. Italian legislation also stipulates that fossil fuel producers should annually supply a minimum quota of biofuels based on the total amount of fuel supplied during the previous year.</li><br />
</ul><br />
Revisions concerning green certificates (Finance law 2008 - Law No. 244 24/12/2007 and Law No. 222 29/11/2007):<br />
<ul><br />
<li>Putting a price on carbon: the revisions concerning green certificates are twofold. First, the incentive period is raised to 15 years. Second, the number of certificates issued varies depending on the type of renewable source, according to a coefficient of multiplicative energy produced.</li><br />
<li>Energy - demand-side policies: the 2008 Budget Law includes new measures relating to the production of electricity from renewable energy sources, in particular for small renewable plants.</li><br />
</ul><br />
Biofuel blend minimum; energy efficiency for appliances and Revolving fund for Kyoto (Finance Law 2007):<br />
<ul><br />
<li>This law provides for various fiscal incentives and financial measures to improve energy efficiency and to abate emissions.</li><br />
<li>It also established an obligation for all traditional fuel producers to supply, each year, a minimum quota of biofuels determined as a percentage of the previous year's total supply volume. The initial quota was 1% for 2007; subsequently it was increased to 2% for 2008 and 3% for 2009. Non-compliance with the quota is subject to penalties. The Ministry of Agriculture and Forestry is responsible for verifying the fulfilment of this obligation.</li><br />
<li>The Law introduced tax allowances for purchase or installation of high-efficiency electric motors and for high-efficiency fridges and freezers. It also promotes the reduction of duty for biofuels used for transportation and fiscal incentives for enhancing energy efficiency and use of renewable energy in buildings.</li><br />
<li>The Law also established the Revolving fund for Kyoto: it provides EUR 200 million (USD 272 million) for financing measures to promote GHG emission reductions for 2010-2012 and to achieve the targets. It finances, for instance, a high-performance micro-cogeneration plant.</li><br />
</ul><br />
Fund for GHG emissions reduction and energy efficiency (Finance Law 2001 Art. 10):<br />
<ul><br />
<li>The financial law, approved at the end of the year 2000, establishes a fund for the reduction of atmospheric emissions and the promotion of energy efficiency and sustainable energy sources. The fund is financed from a portion equal to 3% of the receipts accruing from Italy's carbon tax.</li><br />
<li>The fund will finance up to 80% of the cost of programmes for installation of solar collectors (mostly PV), particularly in southern Italy. The fund will also finance reforestation programmes to increase absorption of CO2.</li><br />
</ul>http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2017-12-27;205","","Italy","ITA","Transportation;LULUCF;Energy;Residential and Commercial","","Mitigation","Law","Redd+ And Lulucf, Transportation, Carbon Pricing, Energy Supply, Institutions / Administrative Arrangements, Energy Demand","","published"
